eat_pref,salt_sweet,costco,fav_meal,books_per_year,music_per_day,age,fav_color,bible_offer,trick_or_treat_cutoff,states_lived,rock_collect,fav_dining,work_per_week,exercise_per_week,car,rainy_days,why_class,born_state,fav_band,states_visited,meals_per_week_campus,sibling,first_gen,countries_visited,pets_num,fav_movie_growing_up,god,caffiene_drink_per_week,credits,diet,ski_snowboard,rock_climbing,mt_biking,cat_or_dog,ice_cream,breakfast_days_per_week,ai_opinion,fav_season,major
Order in,Sweet,around once a month,Dinner,10,2,19,purple,3,15,2,No,VU,7,6,Yes,No,Prerequisite,UK,Taylor Swift,20,5,1,No,13,3,The Iron Giant,Yes,5,14,None of the above,"No, but want to learn","Yes, but once or only a few times",No,Dogs,vanilla,7,very negative,Fall,Kinesiology 
No preference,No preference,rarely/never,No preference,10,2,21,Green,2,14,1,Yes,Fairhaven ,20,1,Yes,Yes,Major,WA,Lots,10,4,2,No,1,3,Back to the future ,No,5,15,None of the above,"No, but want to learn","No, but want to learn","No, but want to learn",No preference,vanilla,7,somewhat negative,Spring,Geology 
Order in,Sweet,rarely/never,Breakfast,5,6,21,yellow,8,14,2,No,Starbucks,0,5,No,Yes,Major,Florida,Fleetwood Mac,40,1,2,No,10,0,Sleeping Beauty,Yes,21,15,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Dogs,vanilla,3,very negative,Summer,Kinesiology
No preference,Salty,rarely/never,Breakfast,6,1,19,Green,3,13,3,Yes,Subway,3,7,No,Yes,Major,Pennsylvania,Billy Strings,10,0,1,No,6,2,Lion King,No,5,16,"Vegetarian (no meat, dairy allowed)",No,"Yes, but once or only a few times","Yes, but once or only a few times",Dogs,vanilla,7,very negative,Spring,Geology
Eat out,Sweet,around once a year,Dinner,4,4,20,Purple,3,13,1,No,Freshens,13,6,No,Yes,Major,Washington,Bad Bunny,15,0,3,No,0,2,How to train your dragon,No,2,17,None of the above,No,No,No,Cats,chocolate,5,neutral,Summer,Kinesiology 
No preference,Salty,rarely/never,No preference,0,2,18,Green,1,,1,No,,0,,No,No,Major,WA,Yellow Magic Orchestra,5,14,1,No,0,0,,Don't know,0,18,None of the above,No,No,No,Cats,vanilla,0,neutral,Fall,Computer Science
Eat out,Sweet,rarely/never,Breakfast,1,4,22,Pink ,7,14,1,Yes,Zoe’s ,20,5,Yes,Yes,Major,Washington ,Phoebe bridgers ,9,0,2,No,10,0,Finding Nemo ,Yes,10,18,None of the above,"Yes, often","Yes, often","No, but want to learn",Cats,vanilla,7,somewhat negative,Spring,Geology 
Eat out,No preference,rarely/never,Dinner,1,2,17,Orange,3,17,1,No,Viking Commons,0,0,Yes,Somewhat,Prerequisite,Washington ,SZA,8,12,1,No,0,3,Charlie and the Chocolate Factory,Don't know,0,14,None of the above,No,"Yes, but once or only a few times","Yes, but once or only a few times",No preference,chocolate,5,somewhat positive,Spring,Music Education
Eat out,Salty,around once a month,Dinner,0,1,19,Green,7,12,1,No,Starbucks,13,3,Yes,No,Major,Washington,The Head and The Heart,11,0,0,No,6,0,Parent Trap,No,5,17,None of the above,"Yes, often","Yes, often",No,Cats,chocolate,7,very negative,Spring,Speech Language and Hearing Sciences
Order in,Salty,around once a year,Lunch,12,3,21,Grey,1,0,3,Yes,Fairhaven,0,1,Yes,Somewhat,Major,Virginia,,20,1,1,No,2,4,Finding Nemo,No,4,13,None of the above,No,No,No,Dogs,vanilla,1,somewhat negative,No favorite,Geology
Order in,Salty,around once a year,Dinner,45,6,21,purple ,15,13,7,Yes,miller market,6,3,No,Yes,Prerequisite,Tennessee,Adrianne Lenker,25,0,3,No,3,4,princess and the frog,No,,17,None of the above,No,No,No,Cats,chocolate,4,very negative,Fall,creative writing
Eat out,Sweet,around once a month,Dinner,0,3,20,Green,4,18,2,No,Freshins,0,7,Yes,Yes,Prerequisite,Wa,Zach bryan,11,0,2,No,4,0,Up,Yes,5,15,None of the above,No,No,No,Dogs,vanilla,7,neutral,Spring,Kinesiology
Eat out,Sweet,rarely/never,Dinner,4,7,22,green,4,12,1,Yes,zoe’s,0,8,No,Yes,Major,Wisconsin,Brandi Carlile,30,5,1,No,25,2,Incredibles,Yes,2,15,None of the above,"Yes, often",No,No,Cats,chocolate,4,very negative,Spring,Geology!
Eat out,Salty,around once a month,Lunch,24,1,19,Yellow,1,14,1,No,Ridge way common ,14,,No,Somewhat,Prerequisite,WA,NA,4,10,2,No,0,2,My Neighbor Tortoro,No,12,13,None of the above,No,No,No,No preference,no preference,3,very negative,Fall,English secondary ed
